low_liquidity_threshold,wealthy_htm_a_quantile,wealthy_htm_a_cutoff,share_wealthy_htm,mean_mpc_wealthy_htm,mean_liquid_wealth,mean_illiquid_wealth,peak_consumption_response,integral_consumption_response
0.0,0.5,7.125231940055185,0.3177389136520757,0.17587179000076486,0.0,23.981484113916107,1.4828688549278082,12.023797837675177
0.0,0.6,9.782221393259215,0.2639603494157293,0.18400436969318984,0.0,27.41573112231173,1.630701655813447,13.181810470738712
0.0,0.7,13.396413685888078,0.20842907651556963,0.1917261984872232,0.0,32.11378600659987,1.8494607811875037,14.840240375294767
0.1,0.5,7.125231940055185,0.3437283549304303,0.17036871587584917,0.006727097853048,24.519506133601432,-0.24485291792805502,2.9627524988623635
0.1,0.6,9.782221393259215,0.28730480436573624,0.17739444246132569,0.0072291462594654765,27.935553114306764,-0.2291793489341321,3.2631453996148263
0.1,0.7,13.396413685888078,0.22914368432625792,0.18344662280092608,0.008042942890483792,32.543221479458076,-0.2126570312393335,3.6102344481658797
0.25,0.5,7.125231940055185,0.3574695597801803,0.16688504553663722,0.014525731281296427,24.28468292542238,-0.24224285452971112,2.519238311631137
0.25,0.6,9.782221393259215,0.29880110798507387,0.17367841489078367,0.015015474780114921,27.65387532820221,-0.2271326402456688,2.796484948822946
0.25,0.7,13.396413685888078,0.23819655633233522,0.17957791328901868,0.01570345288959292,32.200975381609204,-0.2111848514078516,3.0939112249284983
0.5,0.5,7.125231940055185,0.3714977261415699,0.1629622572120271,0.028068496692952066,24.047622935043606,-0.23883135201317918,2.3951405585228915
0.5,0.6,9.782221393259215,0.3105342798940247,0.16952176226231175,0.028547881395676687,27.369791663581356,-0.22432246029425576,2.69404220023078
0.5,0.7,13.396413685888078,0.24755236677285233,0.17520806851296788,0.029213238125041716,31.844395712890805,-0.20899434797673455,3.006721696108966
