сценарий,обозначение,phi_pi,phi_y,rho_i,размер шока,персистентность шока,экономический смысл
baseline,Базовое правило,1.5,0.125,0.7,0.001,0.0,Стандартное правило Тейлора с базовой реакцией на инфляцию и выпуск.
high_phi_pi,Сильная реакция на инфляцию,2.0,0.125,0.7,0.001,0.0,Более агрессивное правило Тейлора по инфляции.
high_rho_i,Высокая инерция ставки,1.5,0.125,0.9,0.001,0.0,Правило с более высокой инерционностью процентной ставки.
low_phi_y,Слабая реакция на выпуск,1.5,0.0,0.7,0.001,0.0,Правило с отключенной или почти нулевой реакцией на выпуск.
persistent_shock,Более персистентный монетарный шок,1.5,0.125,0.7,0.001,0.6,"То же правило ставки, но с более персистентным policy shock."
