переменная,отклик при ударе,минимум отклика,период минимума,максимум отклика,период максимума,полупериод затухания,накопленный отклик
Инфляция,-0.04394760726433386,-0.04394760726433386,0,-0.0011624184445911318,59,2,-0.29720273773724104
Выпуск,-0.2182728942730371,-0.2182728942730371,0,0.012569022388936665,9,2,0.05153739880454553
Потребление,-0.19570127549983332,-0.19570127549983332,0,0.004708524137982519,50,2,-0.414813072588296
Занятость,-0.32558062836149926,-0.32558062836149926,0,0.024792692475461564,7,1,-0.11448788080328232
Номинальная ставка,0.07203834319581066,-0.006619172180750419,8,0.07203834319581066,0,1,-0.09960192752029136
